id,place,magnitude,time,latitude,longitude,depth
ci40689744,"15 km E of Coso Junction, CA",0.98,2024-03-19 01:19:18.430,36.0318333,-117.7833333,1.97
nc74019696,"7 km WNW of Cobb, CA",1.03,2024-03-19 01:18:06.010,38.8353348,-122.8065033,2.21
nc74019681,"7 km WNW of The Geysers, CA",1.08,2024-03-19 00:58:56.830,38.8125,-122.8256683,1.9
nc74019676,"7 km WNW of The Geysers, CA",1.08,2024-03-19 00:58:31.810,38.8123322,-122.8259964,1.86
us6000mjpj,"67 km WNW of Nushki, Pakistan",5.4,2024-03-19 00:35:19.577,29.7645,65.3645,10.0
nc74019661,"5 km WNW of The Geysers, CA",0.88,2024-03-19 00:35:09.700,38.7996674,-122.8101654,1.98
nc74019656,"5 km WNW of The Geysers, CA",0.99,2024-03-19 00:32:41.020,38.7996674,-122.8105011,1.99
ci40689728,"5 km NW of Boron, CA",1.52,2024-03-19 00:18:38.020,35.031,-117.683,-0.81
ci40689712,"6 km NW of Castaic, CA",1.39,2024-03-19 00:16:42.480,34.5233333,-118.667,18.29
nc74019641,"10 km WNW of The Geysers, CA",0.27,2024-03-19 00:03:54.410,38.8250008,-122.8536682,2.14
pr71443313,"3 km SSW of Guánica, Puerto Rico",2.44,2024-03-19 00:01:29.780,17.9446666666667,-66.9203333333333,9.55
tx2024fmnh,"66 km NNE of Van Horn, Texas",2.0,2024-03-19 00:01:23.390,31.584,-104.534,0.0686
ak0243mngidq,"85 km WSW of Elfin Cove, Alaska",2.8,2024-03-19 00:00:43.662,57.9448,-137.7062,2.4
nc74019631,"14 km WNW of Pinnacles, CA",2.84,2024-03-18 23:57:53.160,36.5983315,-121.2795029,1.95
nc74019636,"12 km NW of Pinnacles, CA",3.36,2024-03-18 23:57:26.960,36.6133347,-121.2360001,9.47
nc74019611,"6 km NW of The Geysers, CA",1.65,2024-03-18 23:51:50.040,38.8131676,-122.8153305,0.6
ak0243ldvp06,"66 km ESE of Denali National Park, Alaska",1.3,2024-03-18 23:45:04.542,63.2208,-150.5972,117.9
nc74019601,"7 km NW of The Geysers, CA",0.24,2024-03-18 23:33:23.760,38.8236656,-122.8089981,11.32
nc74019596,"2 km NW of Alamo, CA",1.9,2024-03-18 23:33:12.250,37.8600006,-122.0506668,7.94
ak0243ldsp8s,"39 km ESE of Pedro Bay, Alaska",2.1,2024-03-18 23:31:07.960,59.6214,-153.4922,121.2
nn00874995,"62 km S of Kingston, Nevada",1.3,2024-03-18 23:14:19.090,38.6469,-117.1529,0.0
nn00874991,"28 km SE of Alamo, Nevada",3.1,2024-03-18 23:11:41.357,37.1766,-114.9466,9.5
pr2024078000,"74 km SE of Punta Cana, Dominican Republic",3.55,2024-03-18 23:05:02.250,18.085,-67.9348,119.0
ak0243ldmwn9,"5 km E of Fox, Alaska",1.6,2024-03-18 23:04:05.796,64.9522,-147.507,0.0
nc74019586,"7 km NW of The Geysers, CA",0.76,2024-03-18 22:57:17.070,38.8181648,-122.8233337,2.06
ci40689672,"14 km ENE of Borrego Springs, CA",1.04,2024-03-18 22:53:27.320,33.3108333,-116.2426667,5.19
uw61990361,"7 km SSW of Shelton, Washington",1.7363100051879883,2024-03-18 22:49:13.860,47.147499084472656,-123.12249755859375,-0.150000005960464
ak0243ldase9,"14 km SSE of Beaver, Alaska",1.2,2024-03-18 22:47:50.690,66.2388,-147.3068,0.0
uw61990356,"9 km S of Princeton, Canada",1.98,2024-03-18 22:14:35.580,49.37416666666667,-120.52316666666667,-0.51
ci40689656,"17 km W of Searles Valley, CA",1.37,2024-03-18 22:13:25.220,35.7758333,-117.5963333,7.67
ak0243ld1jfg,"17 km WSW of Nenana, Alaska",0.9,2024-03-18 22:04:35.486,64.4782,-149.3984,13.4
ci40689640,"18 km SSW of Searles Valley, CA",0.79,2024-03-18 22:03:26.340,35.6133333,-117.4471667,8.12
ci40689632,"6 km SE of Bonita, CA",1.34,2024-03-18 21:55:07.190,32.6213333,-116.9805,-0.43
us6000mjnm,"55 km SE of La Tirana, Chile",4.1,2024-03-18 21:52:28.736,-20.7238,-69.3227,90.148
ak0243lcftrq,"36 km SE of Denali National Park, Alaska",1.7,2024-03-18 21:03:04.517,63.3493,-151.1397,20.9
ci40689584,"11 km SW of Corona, CA",1.29,2024-03-18 20:57:54.760,33.795,-117.6418333,4.38
tx2024fmhe,"56 km S of Whites City, New Mexico",1.8,2024-03-18 20:56:04.490,31.662,-104.373,5.4939
ak0243lc3pvn,"15 km WNW of Kalifornsky, Alaska",1.6,2024-03-18 20:46:56.035,60.4619,-151.5566,68.2
nc74019551,"2 km NE of Oakland, CA",1.57,2024-03-18 20:46:37.430,37.8088341,-122.2118301,7.79
uu80062966,"14 km NE of Milford, Utah",0.1,2024-03-18 20:25:32.940,38.4918333333333,-112.899166666667,3.44
us6000mjnc,"111 km SSE of Semnan, Iran",4.3,2024-03-18 20:23:25.379,34.6183,53.7515,10.0
hv74140737,"12 km SSE of Volcano, Hawaii",2.31,2024-03-18 20:22:47.970,19.3333333333333,-155.191833333333,2.4
nc74019531,"9 km WNW of Cobb, CA",1.1,2024-03-18 20:17:10.290,38.8380013,-122.822998,1.69
